precio,moneda,expenses,direccion,titulo,ubicacion,superficie,dormitorio,antiguedad,banos,ambientes,cocheras,toilett,estado,disposicion,parrilla,gimnasio,pileta,solarium,playroom,quincho,ascensor,departamento,provincia,municipio,url_link,localidad_barrio,provincia_region
40000.0,$,,22 De Diciembre 2700,"Departamento en Alquiler en Posadas, Misiones Capital","Posadas, Misiones Capital",35.0,1.0,6.0,1.0,2.0,,,Bueno,Contra Frente,0,0,0,0,0,0,0,Capital,Misiones,Posadas,https://www.argenprop.com/departamento-en-alquiler-en-posadas-2-ambientes--12500356,Posadas,Misiones Capital
120000.0,$,22000.0,"AV. ROQUE PEREZ 1800, Piso 7","Departamento en Alquiler en Posadas, Misiones Capital","Posadas, Misiones Capital",,2.0,,,3.0,,,Bueno,Frente,0,0,0,0,0,0,0,Capital,Misiones,Posadas,https://www.argenprop.com/departamento-en-alquiler-en-posadas-3-ambientes--12537885,Posadas,Misiones Capital
50000.0,$,13000.0,Consultar Dirección,"Departamento en Alquiler en Posadas, Misiones Capital","Posadas, Misiones Capital",,,,,,,,,,0,0,0,0,0,0,0,,,,https://www.argenprop.com/departamento-en-alquiler-en-posadas--12541589,Posadas,Misiones Capital
250000.0,$,50000.0,25 de Mayo 1300,"Departamento en Alquiler en Posadas, Misiones Capital","Posadas, Misiones Capital",200.0,4.0,6.0,2.0,6.0,1.0,1.0,,,0,0,0,0,0,0,0,Capital,Misiones,Posadas,https://www.argenprop.com/departamento-en-alquiler-en-posadas-6-ambientes--12559587,Posadas,Misiones Capital
85000.0,$,,Consultar Dirección,"Departamento en Alquiler en Merlo, Junin","Merlo, Junin",80.0,2.0,0.0,2.0,3.0,1.0,,Excelente,Frente,0,0,0,0,0,0,0,,,,https://www.argenprop.com/departamento-en-alquiler-en-merlo-3-ambientes--12548380,Merlo,Junin
125000.0,$,,COLON,"Departamento en Alquiler en San Luis, San Luis Capital","San Luis, San Luis Capital",50.0,1.0,5.0,1.0,2.0,,,Muy Bueno,,0,0,0,0,0,0,0,Juan Martín de Pueyrredón,San Luis,San Luis,https://www.argenprop.com/departamento-en-alquiler-en-san-luis-2-ambientes--12587841,San Luis,San Luis Capital
55000.0,$,,Malvinas Argentinas,"Departamento en Alquiler en Carpinteria, Junin","Carpinteria, Junin",40.0,1.0,,1.0,2.0,1.0,,Excelente,,1,0,1,1,0,0,0,Junín,San Luis,Carpinteria,https://www.argenprop.com/departamento-en-alquiler-en-carpinteria-2-ambientes--11853189,Carpinteria,Junin
30000.0,$,,Barrio 272 Viviendas,"Departamento en Alquiler en 272 Viviendas, Merlo","272 Viviendas, Merlo",30.0,1.0,0.0,1.0,2.0,,,Excelente,,0,0,0,0,0,0,0,Junín,San Luis,Merlo,https://www.argenprop.com/departamento-en-alquiler-en-272-viviendas-2-ambientes--12566967,272 Viviendas,Merlo
65000.0,$,14.0,Tucumán Sur 600,"Departamento en Alquiler en San Juan, San Juan Capital","San Juan, San Juan Capital",57.0,2.0,56.0,1.0,3.0,,,Muy Bueno,Frente,0,0,0,0,0,0,0,Capital,San Juan,San Juan,https://www.argenprop.com/departamento-en-alquiler-en-san-juan-3-ambientes--10476311,San Juan,San Juan Capital
55000.0,$,3.0,General Juan Balcarce 100,"Departamento en Alquiler en Rivadavia, San Juan","Rivadavia, San Juan",38.0,1.0,,,2.0,,,Excelente,Interno,0,0,0,0,0,0,0,Rivadavia,San Juan,Rivadavia,https://www.argenprop.com/departamento-en-alquiler-en-rivadavia-2-ambientes--11661653,Rivadavia,San Juan
